datetime,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude
2004-11-18 19:00:00,thankerton (uk/scotland),,gb,unknown,120,few minutes,UFO Sighting,12/3/2004,55.616667,-3.6166669999999996
2005-11-18 19:22:00,sunderland (uk/england),,gb,light,30,30 seconds,Two white lights seen could be light balls or possible cigar shaped craft.   ((NUFORC Note:  Student report.  PD)),12/16/2005,54.911944,-1.383333
2005-11-18 20:00:00,county durham (uk/england),,gb,light,1800,30 minutes,six lights in the moors flashing at each other.,12/16/2005,54.766667,-1.566667
2006-11-18 23:30:00,brighton (uk/england),,gb,light,300,5 mins,Four bright lights in a loose formation,12/7/2006,50.833333,-0.15
2012-11-18 19:40:00,guildford (uk/england),,gb,flash,300,5 minutes,Two Orange Pulsating Lights.,11/19/2012,51.216667,-0.566667
2012-11-18 22:55:00,orpington (uk/england),,gb,other,300,3-5 minutes,I saw a large shimmering armoured riot like vehicle hovering off the ground making jet sounds with random flashing lights on,11/19/2012,51.35,0.1
2005-11-19 21:00:00,london (uk/england),,gb,light,120,2 minutes,I was watching outside my window and sundenly I saw different colours of light in the sky&#44 (mostly red). Inside the lights I could see,12/16/2005,51.514125,-0.093689
2008-11-19 17:45:00,murton (uk/england),,gb,triangle,15,15 seconds,Ufo seen on A19 road in uk near murton,1/10/2009,54.816667,-1.416667
2009-11-19 16:30:00,dover (uk/england),,gb,cigar,300,5min,cigar shaped&#44 but was segmented with what appeared to be windows.,12/12/2009,51.133333,1.3
1978-01-01 00:00:00,london (uk/englnd),,gb,disk,1,1 second,Twin-disc &#39pivoting&#39 UFO observed to rapidly cross the skies of Slough&#44 U.K.&#44 in 1977/ 1978.,6/12/2008,51.514125,-0.093689
1982-01-01 17:00:00,newcastle (uk/england),,gb,cylinder,30,30 seconds,size&#44shape&#44were all unusaul but the speed at the flightpath it adopted prier to disapearering was beyond this planets compensation.,3/21/2003,54.2,-5.883333
2002-01-01 13:00:00,torquay (outside of) (uk/england),,gb,sphere,30,30 seconds,A silver sphere of 1 meter diameter floating slowly at low level before rapidly shooting away skywards.,5/24/2005,50.45,-3.5
2002-01-01 22:00:00,sheffield (south yorkshire) (uk/england),,gb,sphere,20,20 seconds,I have never seen anythig like it before but my mind is now open to the subject.,12/14/2006,53.366667,-1.5
2003-01-01 00:05:00,grimsby (uk/england),,gb,light,60,1 minute,light flys over Grimsby for 1 minute before disappearing,3/4/2003,53.533333,-0.05
2003-01-01 00:20:00,brighton (uk/england),,gb,light,240,4 min,it moved slowly across the sky and suddenly zoomed off so all of us ran out side and the ufo glowed brighter like a star and hovered ov,3/4/2003,50.833333,-0.15
2004-01-01 12:00:00,london (uk/england),,gb,fireball,1800,30 mins,a bright light. It was hitting me it wouldnt stop&#33,1/17/2004,51.514125,-0.093689
2004-01-02 00:00:00,glasgow (uk/scotland),,gb,other,2,seconds,The time was 7:00AM UK time of the 1 January 2004. The sky was clear and crisp and it was a beautiful morning. I was walking my dogs in,3/2/2004,55.833333,-4.25
2005-01-01 00:20:00,waltham abbey (uk/england),,gb,sphere,360,5-6minutes,hi&#44 we let off fireworks to see in the new year&#44 as the last one was finishing we noticed three circles of light in a tri-angular forma,1/11/2005,51.683333,0.016666999999999998
2005-01-01 03:30:00,london (uk/england),,gb,formation,60,1 minute,Red lights flying in formation high above London around 3 a.m,2/22/2005,51.514125,-0.093689
2007-01-01 19:45:00,welwyn garden city (uk/england),,gb,oval,600,10 mins,4 Red lights seen over Welwyn Garden City in Hertfordshire England,2/1/2007,51.8,-0.2
2008-01-01 00:10:00,ellesmere port (uk/england),,gb,disk,120,2 minutes,saucer shape craft with orange light,1/21/2008,53.283333,-2.9
2008-01-01 00:20:00,sheffield (uk/england),,gb,formation,900,15mins,lights traveling in a 2 +1+1+1+1 formation evenly spaced between each and traveling nnw single lights &#44not flickering just a yellow /or,1/21/2008,53.366667,-1.5
2009-01-01 00:05:00,cardiff (uk/wales),,gb,light,45,30-45 seconds,Three unidentified orange objects over Cardiff&#44 New Years Day 2009,3/19/2009,51.5,-3.2
2009-01-01 00:05:00,southampton (uk/england),,gb,oval,900,15 minutes,1.1.09. 00.05hrs and 15.6.09. 22.30hrs  Southampton&#44 England. Oval shaped orange glows / craft travelling in sky in slow straight lines,8/5/2009,50.9,-1.4
2009-01-01 00:20:00,london (uk/england),,gb,disk,420,7minutes,orange round vessel in sky over Chertsey Surrey.,1/10/2009,51.514125,-0.093689
2009-01-01 00:20:00,london (uk/england),,gb,flash,900,10-15 mins,london uk 1/1/2009 at 00:20 bright orange lights between 3-5 shapes follwing same pattern fast for about 10- 15 mins,1/10/2009,51.514125,-0.093689
2009-01-01 01:21:00,swanage (uk/england),,gb,other,3600,1 hour,strange orange lights on new years day,3/19/2009,50.6,-1.9666669999999997
2009-01-01 02:10:00,croydon (uk/england),,gb,other,180,3 mins,Moving lights across the sky&#44 pair and triangular.,1/10/2009,51.383333,-0.1
2009-01-01 18:00:00,sheffield (uk/england),,gb,fireball,300,5 minutes,((HOAX??))  triangle formation fire ball lights in the sky,1/10/2009,53.366667,-1.5
2010-01-01 00:11:00,london (uk/england),,gb,diamond,10,10 seconds,UFO moved in a straight line across the sky above my house. Very high and had flashing orange and green lights.,2/14/2010,51.514125,-0.093689
2010-01-01 00:15:00,leicestershire (uk/england),,gb,fireball,5,5 seconds,Seven orange glowing craft spotted in Stoney Stanton Leicestershire UK at 00:15 hrs new years day 2010,2/14/2010,52.664913,-1.034894
2010-01-01 00:20:00,walsall (uk/england),,gb,light,1200,watched for 20mins could,6 orange lights over walsall/bloxwich England.,2/14/2010,52.6,-2.0
2010-01-01 00:24:00,bromsgrove (uk/england),,gb,circle,360,6 minutes,3 orange shape objects travelling at approx 700mph,2/14/2010,52.333333,-2.066667
2010-01-01 01:00:00,newcastle (uk/england),,gb,other,180,3 minutes,Very large orange flame like craft similar to lantern seen flying low and fast following coastline,2/14/2010,54.2,-5.883333
2010-01-01 01:45:00,stroud (uk/england),,gb,fireball,120,2 mins,Flame ball flew down the Stroud valley,2/14/2010,51.75,-2.2
2010-01-02 00:00:00,glasgow (uk/scotland),,gb,fireball,120,2 minutes,Bright orange&#44 glowing orb came towards us. It stopped&#44pulsated and glowed brigher before shrinking into the dark night sky.,2/14/2010,55.833333,-4.25
2012-01-01 21:45:00,edinburgh (uk/scotland),,gb,sphere,900,15 mins,orange ball in the sky,1/24/2012,55.833333,-3.083333
2013-01-01 00:00:00,norwich (uk/england),,gb,oval,40,00:40,These were real alien craft and very fast and able to stop and make clever formations; fantastic to see.,2/4/2013,52.633333,1.3
2013-01-01 00:30:00,chawton (village) (uk/england),,gb,light,25,25 seconds,VERY bright orange lighted object flying at very low altitude that then faded disappeared and did not re-appear in the Sky.,2/4/2013,51.133333,-0.983333
2013-01-01 01:50:00,alton (hampshire)(uk/england),,gb,fireball,120,2 minutes,7 glowing orbs moved slowly in a perfect line but some distance from each other and then disappeared,2/4/2013,52.966667,-1.8833330000000001
2013-01-01 05:10:00,london (uk/england),,gb,oval,1800,30 minutes,Oval cluster lights over NNE London,2/4/2013,51.514125,-0.093689
1998-11-20 21:45:00,launceston (uk/england),,gb,disk,600,10 mins,saurcer with 7 lights,2/18/2001,50.633889,-4.364444000000001
2005-11-20 20:15:00,essex (uk/england),,gb,light,600,5-10 mins,11 or so orange lights flying in a staggerd formation across the sky.,12/16/2005,51.833333,0.583333
2008-11-20 20:10:00,rochester (kent) (uk/england),,gb,sphere,180,3 mins,2 ufo&#39s over Rochester (UK) with vid,5/12/2009,55.3,-2.25
2009-11-20 23:00:00,boston (uk/england),,gb,rectangle,1200,20 mins,strange orange ufos,12/12/2009,52.983333,-0.016666999999999998
2004-11-21 10:14:00,london (heathrow&#44 cranford) (uk/england),,gb,light,600,10 mins,Well&#44 i saw three lights above the clouds&#44 the clouds were very scarce and scattered&#44 above you can see the dark sky and the stars.,12/3/2004,51.514125,-0.093689
2006-11-21 17:00:00,newmarket (uk/england),,gb,other,30,30 seconds,strange interference,12/7/2006,53.3,-3.3833330000000004
2000-11-02 18:40:00,billericay (uk/england),,gb,oval,2,seconds,5 rotating lights in sky,2/18/2001,51.616667,0.416667
2001-11-02 22:44:00,london (uk/england),,gb,triangle,180,3 mins,Foreign Newsman sees wierd objects,11/20/2001,51.514125,-0.093689
2005-11-02 11:00:00,polegate (uk/england),,gb,oval,240,4 minutes,Hovering object over house,11/3/2005,50.8,0.23333299999999998
2005-01-12 21:00:00,sidcup (uk/england),,gb,cross,3600,more than 1 hour,UFOS OVER SIDCUP&#44 KENT&#44 UK.,1/19/2005,51.416667,0.116667
2008-01-12 00:07:00,liverpool (uk/england),,gb,formation,600,10 minutes,Huge red lights in formation over Liverpool,2/14/2008,53.416667,-3.0
2008-11-02 09:15:00,london (uk/england),,gb,changing,300,5 mins,Unknown &#44 roughly shaped object spotted over North London,1/10/2009,51.514125,-0.093689
2013-01-12 21:00:00,biggar (south lanarkshire) (uk/scotland),,gb,sphere,21600,6 hours,Strange lights in the sky.,2/4/2013,55.616667,-3.516667
2003-11-22 00:00:00,burnley (uk/england),,gb,sphere,3,3 seconds,A ball of light trvelling very fast&#44 in a straight path&#44 in a SSE direction. Reoccurance on 26th.  Same path and direction but see,12/9/2003,53.8,-2.233333
2003-11-22 20:50:00,fleetwood (lancashire) (uk/england),la,gb,circle,600,10 minutes,My friends daughter phoned her father to say there was lights in the sky above her house&#44 which is in Fleetwood&#44 Lancashire&#44 UK. I was,11/26/2003,53.916667,-3.0
2007-11-22 21:20:00,nottingham (uk/england),,gb,triangle,900,15 mins,V shaped light formation,11/28/2007,52.966667,-1.166667
2008-11-22 19:04:00,oxford (uk/england),,gb,circle,120,2 minutes,Orange ball over south Oxford with ring of orange lights normal speed,1/10/2009,51.75,-1.25
2009-11-22 18:05:00,liverpool (uk/england),,gb,oval,40,40 seconds,three rotating lit objests flew over house fast silent stopped in the distance and dissapeared,12/12/2009,53.416667,-3.0
2013-11-22 21:15:00,glasgow (uk/scotland),,gb,changing,7200,2 hours,Bright light in sky&#44 one red light to one side one green light to other side too fast to be a plane. No noise heard when it passed.,12/2/2013,55.833333,-4.25
1993-11-23 03:00:00,essex (uk/england),,gb,triangle,180,2-3 minutes,I was being driven home by my ex-boyfriend&#44 around about 3am in the morning&#44 its November 1993&#44 I was 17 years old then. I live in the,9/2/2005,51.833333,0.583333
